ID,Question,Answer
1,ドラえもんに登場するスネ夫の名字は？,骨川
2,ドラえもんの好物はどらやき、では妹のドラミちゃんの好物は？,メロンパン
3,２００９年８月２１日に最初の公判がおこなわれた、特定の刑事裁判において、国民から選ばれた人と裁判官とともに審理に参加する日本の司法制度を何制度と言う？,裁判員制度
4,将棋に使う駒の数は敵味方合わせていくつでしょう？,４０個
5,野球で１試合に一人でヒット、２塁打、３塁打、ホームランを全て打つことを特に何と言うでしょう？,サイクルヒット
6,宇多田ヒカルのニックネームはヒッキー、では倉木麻衣のニックネームはなんでしょう？,クッキー
7,エッセイも人気だったが、ガンで５３歳で亡くなったちびまるこちゃんの作者といえばだれ？,さくらももこ
8,直訳すると「ペラペラ円盤」。パソコンでデータを保存する時に使うものといえば何?,フロッピーディスク
9,硬式テニスで０点のことを２文字で何と言うでしょう？,ラブ
10,バレーボールで攻撃をすることが出来ない守備専門のプレーヤーを何と言うでしょう？,リベロ
11,日本で一番高い山は富士山。では日本で一番長い川は一般的に何川と言うでしょう？,信濃川
12,中国の三国志で劉備に仕えた五虎将軍は関羽、超雲、馬超、黄忠とあと一人は誰でしょう？,張飛
13,四国には４つの県があります。高知県、愛媛県、香川県とあと１つはどこでしょう？,徳島県
14,日本の県名で漢数字が入っている県が２つあります。１つは三重県。ではもう１つは？(「京」も数の単位ですが、東京、京都は県ではなく都・府なので×),千葉
15,卓球やテニス、バドミントンなどでチャンスボールをおもいっきり相手に打ち込むことをなんというでしょう？,スマッシュ
16,パソコン。コンはコンピュータの略です。ではパソは何の略でしょう？,パーソナル
17,あまり見ることがない２０００円札。この２０００円札に描かれている肖像画は誰の肖像画でしょうか？,紫式部
18,はなわがヒットさせた曲「佐賀県」。この曲の中に登場する芸能人は３人います。全て答えなさい。,松雪泰子、江頭２：５０、牧瀬里穂
19,日本の県庁所在地の中で唯一ひらがなが使われているのは何県でしょう？,埼玉（さいたま市）
20,じゃがいもなどにデンプンが含まれているかどうか調べるときに使う、青紫色に反応する液体とはなんでしょう？,ヨウ素液（ヨードチンキ）
21,顕微鏡の観察用の標本のことをカタカナ6文字でなんと言うでしょう？,プレパラート
22,1年の内、一番昼の時間が長い日をなんと言うでしょう？,夏至（げし）
23,地球の成層圏で層をなし、紫外線をさえぎる働きをする、フロンガスで破壊される物質といえば？,オゾン
24,夏の大三角の1等星はデネブ、アルタイルと後一つは何でしょう？カタカナ2文字です。,ベガ
25,冷やす目的やテレビの演出でよく使われる、二酸化炭素を冷やして凍らせたものを何と言うでしょう？,ドライアイス
26,天気予報などで現在「ミリバール」に替わって気圧の単位として使われる単位は？,ヘクトパスカル
27,賞の名前にもなっている、ダイナマイトを発明したことで知られる人物と言えば誰でしょう？,ノーベル
28,「バルザック像」「カレーの市民」「考える人」で知られる近世の彫刻家と言えば誰でしょう？,ロダン
29,デザイン用語のひとつで、構成の仕方で左右対称のつり合いを表す用語と言えば何？,シンメトリー
30,「自画像」「はね橋」「ひまわり」で知られる後期印象派の画家と言えば誰でしょう？,ゴッホ
